subject,runIndex,fatigue_baseline,fatigue_after,motivation_baseline,motivation_after,confidence_baseline,confidence_after,AMI_total,AMI_behavioural,AMI_emotional,AMI_social,age,musician,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,track_19,track_20,track_21,track_22,track_23,track_24,track_25,track_26,track_27,track_28,track_29,track_30,track_31,track_32,track_33,track_34,track_35,track_36,track_37,track_38,track_39,track_40
11 1,1,39.66049382,29.32098766,89.50617284,95.67901234,66.04938272,20.67901234,31,6,9,16,33,No,21,19,17,15,13,12,14,14,14,13,13,13,14,14,14,15,15,15,14,14,14,13,13,13,12,12,12,13,13,13,12,12,13,13,13,12,12,12,11,11
11 1,2,39.66049382,29.32098766,89.50617284,95.67901234,66.04938272,20.67901234,31,6,9,16,33,No,21,19,17,15,13,12,11,13,13,13,12,13,13,13,12,12,13,13,14,14,14,13,14,14,15,15,15,14,14,15,15,15,14,14,14,15,15,15,14,14
11 1,3,39.66049382,29.32098766,89.50617284,95.67901234,66.04938272,20.67901234,31,6,9,16,33,No,21,19,17,15,13,12,11,10,12,12,12,11,12,12,13,13,13,12,13,13,13,12,12,12,11,11,11,10,11,12,12,13,13,13,14,14,14,15,15,15
11 2,1,49.3827137,50.77160494,98.61111112,99.07407878,98.45679248,99.38271604,20,10,3,7,26,No,21,19,17,15,13,12,11,13,13,13,12,12,12,11,11,11,10,11,11,11,12,12,12,11,11,12,13,13,13,12,12,12,13,13,13,12,12,12,11,11
11 2,2,49.3827137,50.77160494,98.61111112,99.07407878,98.45679248,99.38271604,20,10,3,7,26,No,21,19,17,15,13,12,11,10,9,8,10,10,10,9,9,9,8,8,9,10,10,10,9,10,10,10,9,9,10,10,10,11,12,13,13,14,14,14,13,13
11 2,3,49.3827137,50.77160494,98.61111112,99.07407878,98.45679248,99.38271604,20,10,3,7,26,No,21,19,17,15,13,12,11,10,9,8,7,9,9,9,8,8,8,9,9,10,10,10,9,10,10,10,9,10,11,11,12,12,12,13,13,14,14,14,13,13
11 3,1,43.20987654,47.22222222,79.01234568,79.62962962,75,67.5925926,32,6,16,10,30,Not applicable (never played any instruments),21,19,17,15,13,12,11,13,13,13,14,14,15,15,15,14,14,14,13,13,14,14,14,13,13,13,12,12,12,11,11,11,10,11,11,11,10,10,11,12
11 3,2,43.20987654,47.22222222,79.01234568,79.62962962,75,67.5925926,32,6,16,10,30,Not applicable (never played any instruments),21,19,17,15,13,12,14,14,14,15,16,16,16,15,15,15,16,16,16,15,16,16,16,15,15,15,14,14,14,13,14,15,15,15,14,14,14,13,13,14
11 3,3,43.20987654,47.22222222,79.01234568,79.62962962,75,67.5925926,32,6,16,10,30,Not applicable (never played any instruments),21,19,17,15,17,17,17,16,16,16,15,15,16,16,16,15,16,16,16,15,15,15,14,14,14,13,13,13,12,12,12,13,14,14,14,15,15,15,14,14
11 4,1,39.85507246,57.7294686,40.57971014,35.02415458,52.17391304,19.80676328,33,15,5,13,21,No,21,19,17,15,13,12,11,13,13,13,14,14,14,13,14,15,15,15,14,14,14,13,13,14,14,14,13,13,13,12,12,13,13,13,14,15,15,15,14,14
11 4,2,39.85507246,57.7294686,40.57971014,35.02415458,52.17391304,19.80676328,33,15,5,13,21,No,21,19,17,15,13,12,11,10,9,11,13,13,13,14,15,15,15,14,14,14,13,13,13,14,14,14,13,13,13,12,13,13,13,14,14,14,15,15,15,14
11 4,3,39.85507246,57.7294686,40.57971014,35.02415458,52.17391304,19.80676328,33,15,5,13,21,No,21,19,17,15,13,12,11,10,9,8,10,10,11,12,13,13,13,14,14,14,13,13,14,15,16,16,16,15,15,15,14,14,14,13,13,13,14,14,14,13
11 5,1,0.15432098,59.10493828,99.84567902,59.8765432,80.40123456,59.8765432,17,3,8,6,31,No,21,19,17,15,13,12,11,10,9,8,7,6,5,7,9,9,9,8,8,8,7,7,8,9,10,11,11,11,10,11,11,11,10,11,11,12,12,13,13,13
11 5,2,0.15432098,59.10493828,99.84567902,59.8765432,80.40123456,59.8765432,17,3,8,6,31,No,21,19,17,15,13,12,11,10,9,8,7,6,8,10,10,10,9,10,10,11,11,11,12,12,13,13,13,12,12,12,13,13,14,14,14,13,13,13,14,14
11 5,3,0.15432098,59.10493828,99.84567902,59.8765432,80.40123456,59.8765432,17,3,8,6,31,No,21,19,17,15,13,12,11,10,12,12,12,11,12,12,13,13,13,12,12,12,13,13,14,15,15,15,14,14,15,16,16,16,15,16,16,16,15,15,16,16
